,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,shop_rel_clothes,shop_rel_confectionery,amenity_rel_atm,amenity_rel_post_box,shop_rel_convenience,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_clinic,shop_rel_agrarian,amenity_rel_cafe,amenity_rel_pub,amenity_rel_bar,shop_rel_toys,shop_rel_gas,shop_rel_truck,amenity_rel_hospital,amenity_rel_charging_station,shop_rel_vacant,shop_rel_bakery,amenity_rel_doctors,amenity_rel_taxi,amenity_rel_biergarten,shop_rel_hairdresser,shop_rel_paint,shop_rel_variety_store,shop_rel_lottery,shop_rel_tobacco,shop_rel_furniture,shop_rel_butcher,amenity_rel_library,amenity_rel_bank,amenity_rel_fast_food,shop_rel_car,shop_rel_computer,shop_rel_motorcycle,shop_rel_pet,shop_rel_beauty,shop_rel_hifi,shop_rel_electronics,shop_rel_doityourself,shop_rel_supermarket,shop_rel_grocery,shop_rel_ticket,shop_rel_hardware,amenity_rel_dentist,shop_rel_wholesale,shop_rel_kitchen,shop_rel_sports,shop_rel_car_repair,amenity_rel_veterinary,shop_rel_ice_cream,shop_rel_dry_cleaning,shop_rel_interior_decoration,shop_rel_newsagent,amenity_rel_cinema,shop_rel_florist,shop_rel_video,shop_rel_chemist,shop_rel_kiosk,shop_rel_tea,shop_rel_mobile_phone,shop_rel_shoes,shop_rel_estate_agent,shop_rel_beverages,shop_rel_pet_grooming,shop_rel_gift,shop_rel_greengrocer,shop_rel_mall,shop_rel_bicycle,shop_rel_optician,shop_rel_appliance,shop_rel_yes,shop_rel_stationery,shop_rel_books,shop_rel_cosmetics,shop_rel_outdoor,shop_rel_funeral_directors,shop_rel_bed,shop_rel_herbalist,shop_rel_general,shop_rel_travel_agency,shop_rel_fabric,amenity_rel_post_office,shop_rel_lighting,shop_rel_jetski,shop_rel_copyshop,shop_rel_second_hand,shop_rel_nutrition_supplements,amenity_rel_community_centre,shop_rel_perfumery,shop_rel_laundry,amenity_rel_college,shop_rel_car_parts,amenity_rel_parcel_locker,shop_rel_radiotechnics,shop_rel_musical_instrument,amenity_rel_language_school,shop_rel_video_games,shop_rel_jewelry,shop_rel_massage,shop_rel_games,shop_rel_sewing,shop_rel_tattoo,shop_rel_alcohol,shop_rel_outdoor;hunting,shop_rel_medical_supply,shop_rel_pawnbroker,shop_rel_tyres,amenity_rel_bureau_de_change,shop_rel_pastry,shop_rel_wine,amenity_rel_car_rental,shop_rel_watches,shop_rel_accessories,shop_rel_bookmaker,shop_rel_deli,shop_rel_erotic,amenity_rel_arts_centre,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Mercadona,has_Burger King,has_Carrefour Express,has_McDonald's,has_Vodafone,has_Spar,has_Lidl,has_Carrefour,has_Supercor,has_Telepizza,has_Consum,has_Barclays,has_Zara,has_The Good Burger,has_KFC,has_Phone House,has_Masymas,has_100 Montaditos,has_Vips,has_ALDI,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
0,Alicante_hdbscan_5_5,0,6,-0.4778920223213961,38.16573133753895,-0.4778048499999999,38.16571265,5.676708946561005e-07,10569504.366847709,0.0002936647674226,0.000729373246331,0.0002946223399936,0.0002161340493061,No,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4776381 38.1654434, -0.478534433928377 38.166076725233694, -0.4778126 38.1659037, -0.4776381 38.1654434))",5.0,43.78,19.71,12743.0,93.19,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alicante_hdbscan_5_5,1,24,-0.4815202488161221,38.16630954518036,-0.4816123904591536,38.16627041662962,3.813958086997201e-06,6292675.339517336,0.000900800700181,0.0016846221784114,0.0009590479368898,0.0003044838055725,Yes,0.458,0.042,0.042,0.042,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.48101965 38.16571765, -0.482379971343888 38.16605037948855, -0.482733105770409 38.16619255028753, -0.482891243921871 38.16653683718055, -0.482533210211724 38.16697415335441, -0.4815354 38.1668916, -0.480144474911213 38.166624148356384, -0.479868317394757 38.16615093561233, -0.479855869544535 38.16604917328421, -0.48101965 38.16571765))",86.0,43.78,19.71,12743.0,93.19,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alicante_hdbscan_5_5,2,13,-0.5736876565772957,38.40209412270196,-0.5761144632551165,38.403134058571005,0.0012581569618997,10332.574069590502,0.0119607234048525,0.0322989866165902,0.0095075056779793,0.0102098362129145,Yes,0.308,,,0.077,0.077,0.077,0.154,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.562906351363878 38.3716476451659, -0.58997498475555 38.40818783100482, -0.576891060566022 38.41506442940547, -0.5609964 38.4102198, -0.5610355 38.4011922, -0.562906351363878 38.3716476451659))",21155.0,43.81,19.76,12579.07,93.39,8176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3,Alicante_hdbscan_5_5,3,11,-0.6112842645684617,38.34371188437296,-0.6130366,38.3443215254192,0.0001464725823703,75099.37916018856,0.0042539868166598,0.0136254460539911,0.0050049152723834,0.0020578892583288,Yes,0.091,,,,,0.182,0.091,,,0.091,0.273,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.59892912323028 38.337967037753266, -0.6176179 38.3458045, -0.610139849091714 38.3443215254192, -0.59892912323028 38.337967037753266))",517.0,43.78,19.71,12743.0,93.19,3010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
4,Alicante_hdbscan_5_5,4,12,-0.5678806693870847,38.34049187459363,-0.5676106772590837,38.3394575,0.0002211162825903,54270.08748256535,0.0049605854730125,0.0105482047441073,0.0043176220167704,0.0036131403963424,Yes,0.333,,,,,,,,,,,,,0.083,0.083,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.573023963293081 38.33425513051222, -0.574759114833768 38.33996782576101, -0.563469 38.3500732, -0.5607804 38.3426157, -0.5645301 38.3393795, -0.573023963293081 38.33425513051222))",3419.0,43.78,19.71,12743.0,93.19,3491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
5,Alicante_hdbscan_5_5,5,26,-0.5210467507856362,38.28208073999385,-0.5207877000000001,38.28250415,2.3159792379998035e-05,1122635.279859197,0.0016597535588577,0.0050327586102547,0.0007630972299892,0.0020291885644729,Yes,0.308,,,,,0.038,,0.038,,,,0.038,0.192,,,,,,0.115,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.5219021 38.2771212, -0.5232795 38.2777083, -0.522898220426543 38.28145203984022, -0.5208011 38.2855301, -0.5207743 38.2853985, -0.5206312 38.2827208, -0.5205253 38.2803653, -0.5219021 38.2771212))",447.0,43.78,19.71,12743.0,93.19,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
6,Alicante_hdbscan_5_5,6,11,-0.5191222885764388,38.31397246612877,-0.5183264702337734,38.313556445640664,2.1016423661172676e-05,523400.1834632896,0.0021506620217852,0.0059833553535987,0.0024055057304663,0.0007301297039061,No,,,,,,,0.091,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.5169723 38.3132098, -0.520311629557511 38.31330744287749, -0.521471674217267 38.31341189972452, -0.5250734 38.3145928, -0.519020253668055 38.3157035973989, -0.516645921620859 38.3135050606175, -0.5169723 38.3132098))",396.0,43.78,19.71,12743.0,93.19,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
7,Alicante_hdbscan_5_5,7,11,-0.5204378875164903,38.30378935633464,-0.5200815,38.3043756,2.319654835633814e-05,474208.4827027466,0.0020590320769707,0.0051850344736427,0.0008338667889331,0.0022041497670262,No,0.273,,,,,,,,,,0.091,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.519413574123672 38.298706506291, -0.522680500210087 38.30251633389775, -0.52111382634542 38.305389567516116, -0.520824101776825 38.30568237140931, -0.520421911152029 38.30580692660745, -0.519939642903532 38.305769244542255, -0.519413574123672 38.298706506291))",405.0,43.78,19.71,12743.0,93.19,1335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
8,Alicante_hdbscan_5_5,8,27,-0.490557510945333,38.386990902900784,-0.490907,38.3871464,7.312627990216361e-05,369224.3067215175,0.0017314298699358,0.0063835053034273,0.0018248688893877,0.0015782751444723,Yes,0.037,,,,,,0.148,0.037,0.037,,,0.074,,,,,,,,0.037,,,,0.074,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.493139366709463 38.38486748673235, -0.493036928858337 38.385408993157434, -0.491470128352551 38.39302419366039, -0.48417419479054 38.38694176201316, -0.4904319 38.384994, -0.493139366709463 38.38486748673235))",1243.0,43.78,19.71,12743.0,93.19,1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
9,Alicante_hdbscan_5_5,9,11,-0.4508036179887649,38.38467267499945,-0.4507499,38.3850051,5.718871636148265e-06,1923456.3564026144,0.0008385254890095,0.0022319507346383,0.0005142998986093,0.0009514092819042,Yes,0.182,,,,,0.091,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,0.091,0.182,0.182,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.451702577977344 38.382629766528474, -0.451159820039853 38.385185318717056, -0.451148 38.3852379, -0.4498632 38.3857389, -0.4515252 38.3828126, -0.451702577977344 38.382629766528474))",55.0,43.78,19.71,12743.0,93.19,986.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
10,Alicante_hdbscan_5_5,10,16,-0.443956315218785,38.38841491915382,-0.4433545453316211,38.38855146252091,2.051585761879388e-05,779884.5311415568,0.0021514094418489,0.0033379204801071,0.0020272953531678,0.0012000598302964,Yes,0.125,,,,0.062,,,,,,,,0.062,,,,,,,,,,,,,,,,0.062,,,,,0.25,,,0.125,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.446766933668564 38.386633449134784, -0.4467958 38.3866602, -0.443413156828867 38.39015590807728, -0.4424031 38.3899504, -0.4410665 38.3892356, -0.4409715 38.3891466, -0.4410556 38.3887292, -0.446766933668564 38.386633449134784))",250.0,43.78,19.71,12743.0,93.19,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,Alicante_hdbscan_5_5,11,10,-0.50034419,38.3775694,-0.50033815,38.377837,5.123905050002701e-06,1951636.4769473488,0.0009922896031513,0.0018862220240739,0.0005388478717597,0.0010170799889893,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4995464 38.3758602, -0.5012217 38.3789187, -0.5009205 38.3786039, -0.5004013 38.3779832, -0.500275 38.3776908, -0.4997415 38.3764225, -0.4996554 38.3761886, -0.4995464 38.3758602))",17.0,43.78,19.71,12743.0,93.19,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
12,Alicante_hdbscan_5_5,12,10,-0.4545040179668375,38.37538922746575,-0.4540098622662364,38.3751511950243,1.03443836626062e-05,966708.1506410954,0.0014498613886548,0.0025750762917001,0.000861664018978,0.0013041868631418,Yes,0.3,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4534704 38.3730307, -0.4558916680904 38.37453735488899, -0.4539698 38.377303, -0.453698118858571 38.3751215900486, -0.4534704 38.3730307))",162.0,43.78,19.71,12743.0,93.19,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13,Alicante_hdbscan_5_5,13,8,-0.4125407298347835,38.382415040250216,-0.4124919999999999,38.38205221100087,2.3567172332394265e-06,3394552.3405044214,0.0007215188123721,0.0012183468665224,0.0003679732006843,0.0007066076545834,Yes,0.375,,,,,,,,,,0.125,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4124019 38.3817326, -0.413399838678268 38.38201102200173, -0.4125945 38.3836322, -0.4121592 38.3835498, -0.4122338 38.3820934, -0.4124019 38.3817326))",48.0,43.78,19.71,12743.0,93.19,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
14,Alicante_hdbscan_5_5,14,7,-0.4202035578845504,38.37516378463822,-0.4195226,38.374849022268464,4.570479527745211e-06,1531567.9585711574,0.0010075621579614,0.0020882153233191,0.000829587842448,0.0007508702951427,Yes,,,,,,,,,,,,,,,,,,,,,,,,0.286,,,,,,,,,0.143,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4195219 38.3745647, -0.420579328786095 38.37465044564605, -0.421447683919601 38.374849022268464, -0.421322792486157 38.376926724552995, -0.4195226 38.3751877, -0.4195179 38.3751451, -0.4195127 38.3748228, -0.4195219 38.3745647))",89.0,43.78,19.71,12743.0,93.19,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15,Alicante_hdbscan_5_5,15,16,-0.4405449016104312,38.36773707017174,-0.44043295,38.3680902,3.0899585574202236e-05,517806.297485046,0.0024370779299601,0.0036327996314292,0.0019762936010583,0.001724376401238,Yes,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,0.125,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4379869 38.3653322, -0.4401247 38.3657462, -0.4438161 38.3693171, -0.442285281679556 38.37025110641046, -0.43948857566328 38.36987208718305, -0.437534300145362 38.36670617173002, -0.4379869 38.3653322))",568.0,43.78,19.71,12743.0,93.19,1585.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
16,Alicante_hdbscan_5_5,16,11,-0.4168612334809991,38.385284171681185,-0.4168893,38.3854977,2.3263493000001637e-06,4728438.67427786,0.0005318451689821,0.0013930541565786,0.0002723530396624,0.0005824318650264,Yes,,0.091,,,,,,,,,0.182,0.091,0.091,,,,,,,0.091,,,,0.091,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4163794 38.3839771, -0.4169244 38.3844844, -0.4174884 38.3860748, -0.4165593 38.3853097, -0.4163794 38.3839771))",28.0,43.78,19.71,12743.0,93.19,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17,Alicante_hdbscan_5_5,17,6,-0.4155061,38.38322018333333,-0.41549505,38.383209949999994,9.52638400008864e-08,62982974.44176272,0.0001252598762487,0.0002347214809367,0.0001085214418137,9.843179392734451e-05,Yes,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,0.167,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4153555 38.3830842, -0.4154157 38.3831376, -0.4154694 38.3831856, -0.4156803 38.3833775, -0.415595 38.3833019, -0.4153555 38.3830842))",0.0,43.78,19.71,12743.0,93.19,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,Alicante_hdbscan_5_5,18,16,-0.5058969427886908,38.37436205339359,-0.5059498,38.37476316040069,5.4374695433075585e-05,294254.52175070683,0.002173411248122,0.0058266505404938,0.0013308238491305,0.0023208182274066,Yes,0.062,,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,0.062,,,,,0.125,,,,,0.125,0.062,0.062,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.505321857554066 38.368563852509354, -0.5090809 38.3764075, -0.5046268 38.3774585, -0.502967707151128 38.37072779615852, -0.505321857554066 38.368563852509354))",977.0,43.78,19.71,12743.0,93.19,2100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
19,Alicante_hdbscan_5_5,19,7,-0.430354136167861,38.35862293519709,-0.4306137082248677,38.35889190536185,6.669282436590942e-06,1049588.1778217368,0.001151117725968,0.0020809260364113,0.0009760374643769,0.000774391754407,No,0.143,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.430943971693851 38.357653863930054, -0.4316244 38.3594495, -0.430229541585686 38.35965440832854, -0.428290666221513 38.35889190536185, -0.429961765449109 38.35792773331458, -0.430943971693851 38.357653863930054))",127.0,43.78,19.71,12743.0,93.19,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
